time,x_maximum
1.006061906331760838e+02,1.351817630845932783e+01
1.013312482710455669e+02,1.439497552955511495e+01
1.021694353487096549e+02,1.615738212241326011e+01
1.044236663270863943e+02,1.500173037095663275e+01
1.059846914937143509e+02,1.326888082138136404e+01
1.066930158140105789e+02,1.401525209655706661e+01
1.074655500025133819e+02,1.526585836909084293e+01
1.090041557141670694e+02,1.456105172260918934e+01
1.098954010161089201e+02,1.671383572590803723e+01
1.128311771587519843e+02,1.510249043836716965e+01
1.143753804988053844e+02,1.380748927268189519e+01
1.151250920503594415e+02,1.487891329196319568e+01
1.167417373566833589e+02,1.236922484325300253e+01
1.174091467106942588e+02,1.280819311771972835e+01
1.180934610226200476e+02,1.336647025512374221e+01
1.188077727414547553e+02,1.415598471640157641e+01
1.195998370344973978e+02,1.556107325663036001e+01
1.211806181597008276e+02,1.593211143464233004e+01
1.234677865604166840e+02,1.325527135461882366e+01
1.241752886119834614e+02,1.399528565799161051e+01
1.249453493695941120e+02,1.522625647766897039e+01
1.264834536232309290e+02,1.438435776946023381e+01
1.273193302528602260e+02,1.613042133602182204e+01
1.295719029789789261e+02,1.481443645953208410e+01
1.312912099543412410e+02,1.147093317066253704e+01
1.319344227083416570e+02,1.173955844097404544e+01
1.325836942042374176e+02,1.203922907452754032e+01
1.332407717968668805e+02,1.239540110901579872e+01
1.339089684105430536e+02,1.283307201650732665e+01
1.345943907840008080e+02,1.339974461844059839e+01
1.353109100025585292e+02,1.420654489783107444e+01
1.361110831341281937e+02,1.567535801551787777e+01
1.377415632453964633e+02,1.662406400255026284e+01
1.406811445730358798e+02,1.423328020573999098e+01
1.414861230682703024e+02,1.574113353596447418e+01
1.431744099595877060e+02,1.718495878460361581e+01
1.467907443414978275e+02,1.581555919702410051e+01
1.493695002393156983e+02,1.082526233548682804e+01
1.500011440241897560e+02,1.101522610217629250e+01
1.506360302039101668e+02,1.121087073729817440e+01
1.512742614366493115e+02,1.143090724683082371e+01
1.519167086401157860e+02,1.168141263608187863e+01
1.525646064912070585e+02,1.197117977291496871e+01
1.532197983842789313e+02,1.231365737819512773e+01
1.538852426899762804e+02,1.273102773643701191e+01
1.545662287774269146e+02,1.326416384176163454e+01
1.552741037619814790e+02,1.400345289157475470e+01
1.560451684600534463e+02,1.524239473473902606e+01
1.575833446268310070e+02,1.445663430034874786e+01
1.584383035846465759e+02,1.634618181231311240e+01
1.607535283679035842e+02,1.646333765215007006e+01
1.639215443681414683e+02,1.133154923124808988e+01
1.645619248145419817e+02,1.158082567619694636e+01
1.652075454557891874e+02,1.185419173411619198e+01
1.658596543949280715e+02,1.217434631688062652e+01
1.665206918053142999e+02,1.255938924681719904e+01
1.671948184079477926e+02,1.304109335834608885e+01
1.678902445478976517e+02,1.368412150512695646e+01
1.686284179741854814e+02,1.466173417896914621e+01
1.695741382942890709e+02,1.718104431647137886e+01
1.731886033777947773e+02,1.576475718620666377e+01
1.749134778049921692e+02,1.746791617265103014e+01
1.791683983996705933e+02,1.521477428824406175e+01
1.807065591256913422e+02,1.433449778908442163e+01
1.815311324360886260e+02,1.599417266988400144e+01
1.837961281280568642e+02,1.381022081750384523e+01
1.845461080444680135e+02,1.488377204830226574e+01
1.861589097733125868e+02,1.241562453745658168e+01
1.868279202334887827e+02,1.286620265264715712e+01
1.875148458715262052e+02,1.344428659103874679e+01
1.882344149258235291e+02,1.427501491206881923e+01
1.890467687488371951e+02,1.583892385094940991e+01
1.914427034122118130e+02,1.190113238376803828e+01
1.920960689854737780e+02,1.224006254096495816e+01
1.927591423221001889e+02,1.264001458864236582e+01
1.934364022259465798e+02,1.314514686148542388e+01
1.941373877821692133e+02,1.383100750931252598e+01
1.948892501757335936e+02,1.491732304076631266e+01
1.964808982205138363e+02,1.270128967231885397e+01
1.971607798590298160e+02,1.323172100863486023e+01
1.978667165115797104e+02,1.395594188461721430e+01
1.986320852002442905e+02,1.514963823196106141e+01
2.001724853295634432e+02,1.403265197529241348e+01
2.009474296216154130e+02,1.530414234271679952e+01
2.024875504056766431e+02,1.473042408103508905e+01
2.035047153802638888e+02,1.767634756078044589e+01
2.084220366474781088e+02,1.397659036539048039e+01
2.091900344590013674e+02,1.519304287852621016e+01
2.107285816234791298e+02,1.423395061443937948e+01
2.115336778307076031e+02,1.574272275080820371e+01
2.132239892336575906e+02,1.720180706885894040e+01
2.168500226220658931e+02,1.604104609107166723e+01
2.191063896992328921e+02,1.417625930140820500e+01
2.199018429846387050e+02,1.560953399795340957e+01
2.214994228244430019e+02,1.620118471428303764e+01
2.237592005001857274e+02,1.530868796311546731e+01
2.252995869390928760e+02,1.475208800044867452e+01
2.263571114213009992e+02,1.790996997112192801e+01
2.319291731502401603e+02,1.366867900848960815e+01
2.326661996635644982e+02,1.463971693220574899e+01
2.335970506701958129e+02,1.706227272585967469e+01
2.372017977097326309e+02,1.430371516900560458e+01
2.380199881168664149e+02,1.591420102680278958e+01
2.403173047030901159e+02,1.306670395912422045e+01
2.410142176136771184e+02,1.372539489982690419e+01
2.417560323130990128e+02,1.473189041939368238e+01
2.427742634793941932e+02,1.768288145591681371e+01
2.476874253116320688e+02,1.410736471256984359e+01
2.484724930580547095e+02,1.545888133133300535e+01
2.500296042128831004e+02,1.542655260510013449e+01
2.515816253736778094e+02,1.527843818204662085e+01
2.531206298176941232e+02,1.461846218802587316e+01
2.540394685949961797e+02,1.696178290037803649e+01
2.577282822297954681e+02,1.260069796088122018e+01
2.584041240557535275e+02,1.310125339912451459e+01
2.591027149037739719e+02,1.376863182377837092e+01
2.598485094303288747e+02,1.480672635656807223e+01
2.616059818000563837e+02,1.123810756863368887e+01
2.622445741519342732e+02,1.147521371507276555e+01
2.628879327054287955e+02,1.173228825071019266e+01
2.635370300885397796e+02,1.203070185825255756e+01
2.641938675215893682e+02,1.238512794242179105e+01
2.648617111221687423e+02,1.282019025875594664e+01
2.655465575662417450e+02,1.338249733343438130e+01
2.662619252075854774e+02,1.418027654908331670e+01
2.670578010607982264e+02,1.561535600858708506e+01
2.686577423161654679e+02,1.623544702973771692e+01
2.709245918723623276e+02,1.555464912827126867e+01
2.725035438590616081e+02,1.589954959853291427e+01
2.748109478791512288e+02,1.290097373600486641e+01
2.754996340365615310e+02,1.349727508757808714e+01
2.762229814968748087e+02,1.435771638792483351e+01
2.770523987997820541e+02,1.605328484591239402e+01
2.793073624641861556e+02,1.426620262002868245e+01
2.801182957169156680e+02,1.582044101970165961e+01
2.826142070410724045e+02,1.121791840934989359e+01
2.832524242109872148e+02,1.145247458813205910e+01
2.838953123142882760e+02,1.170615947480481012e+01
2.845437895404587607e+02,1.200010213388796565e+01
2.851997743360092841e+02,1.234833399377956020e+01
2.858663705272434186e+02,1.277418997116696531e+01
2.865491983545895209e+02,1.332122346369745891e+01
2.872606002765430731e+02,1.408799890124294052e+01
2.880427329701527697e+02,1.541467465128161507e+01
2.895930560118247286e+02,1.522292038945573012e+01
2.911311655251109869e+02,1.437118706695450854e+01
2.919639285289154600e+02,1.609355059926201292e+01
2.942162989886772948e+02,1.455614094805540937e+01
2.951055052983011251e+02,1.669450069850178409e+01
2.980398131809999995e+02,1.491950127555223382e+01
2.996300275604850754e+02,1.272286231091894138e+01
3.003108082305590187e+02,1.325997317908675655e+01
3.010184301892557528e+02,1.399729398789778756e+01
3.017887368202988796e+02,1.523021704285882549e+01
3.033268416483180090e+02,1.440213683452124904e+01
3.041670829214127707e+02,1.618129251070022434e+01
3.064238806675127762e+02,1.516828645413786170e+01
3.079632780762232755e+02,1.412196094549254788e+01
3.087504547867752080e+02,1.549011184123457774e+01
3.103134806411591740e+02,1.557477544027591421e+01
3.118986267892620390e+02,1.600692478739301805e+01
3.141607039842070890e+02,1.391382995579590443e+01
3.149214885876423295e+02,1.507307447266689060e+01
3.164692861606163774e+02,1.365667428109838788e+01
3.172052956283841922e+02,1.461968223290198310e+01
3.181243270184040171e+02,1.696338617827601425e+01
3.218097619624354593e+02,1.264266102880270104e+01
3.224872592594580851e+02,1.315543143520629599e+01
3.231888168419755516e+02,1.384571444023668718e+01
3.239421705505055797e+02,1.494388637048008484e+01
3.255216558955659707e+02,1.289676626312344432e+01
3.262101447473435769e+02,1.349158081573583345e+01
3.269330779987067217e+02,1.434876137320120293e+01
3.277604985533282616e+02,1.602902887340473370e+01
3.300185840704241969e+02,1.408473341615537144e+01
3.308004707197760013e+02,1.541113290126242141e+01
3.323503229475949183e+02,1.520684879073632345e+01
3.338885796919424251e+02,1.429866531797616247e+01
3.347057613813889247e+02,1.590135274419092504e+01
3.370119042779446659e+02,1.292072361027297234e+01
3.377015238573656575e+02,1.352406505569552309e+01
3.384268475099947295e+02,1.440007446850934869e+01
3.392662974807114438e+02,1.617205523773831288e+01
3.415219780658422337e+02,1.510380649550794097e+01
3.430660455198937484e+02,1.381399186596752671e+01
3.438163972279520522e+02,1.489049027044065276e+01
3.454242686177453265e+02,1.247734700221084303e+01
3.460954759916229477e+02,1.294392035172477229e+01
3.467860574268947289e+02,1.354984947345913682e+01
3.475133271057235902e+02,1.444120622811854204e+01
3.483635993308545835e+02,1.629467599940481293e+01
3.506500044714275077e+02,1.600845800423832443e+01
3.529117641126160265e+02,1.392598073345109988e+01
3.536739025190458392e+02,1.509596448713836736e+01
3.552188619202013342e+02,1.377267608841360769e+01
3.559652206957075009e+02,1.481753338797097008e+01
3.576763884518217083e+02,1.152580812491973461e+01
3.583207733646285647e+02,1.180247078683365558e+01
3.589715803495545288e+02,1.211322096286429328e+01
3.596307897570829937e+02,1.248491603663677196e+01
3.603021527334452685e+02,1.294604868057933622e+01
3.609928369194438460e+02,1.355276187649072561e+01
3.617203291980782751e+02,1.444587522276365199e+01
3.625719079343534759e+02,1.630911286853566011e+01
3.648649700321093974e+02,1.612833413209265743e+01
3.671174707722522612e+02,1.480056081912702126e+01
3.689158229321583349e+02,1.102545930824847176e+01
3.695506523875735070e+02,1.123702883058962598e+01
3.701893587752766166e+02,1.146051263159154132e+01
3.708324125286956132e+02,1.171538929665966577e+01
3.714811078261561761e+02,1.201090392309698807e+01
3.721373919771286864e+02,1.236130975862860915e+01
3.728044250847121361e+02,1.279038831972878398e+01
3.734879570549127266e+02,1.334274472475337348e+01
3.742007301069515961e+02,1.412022831592893013e+01
3.749874436808006521e+02,1.548311534225545216e+01
3.765490563285862322e+02,1.554118783122644132e+01
